loss,hidden_dim,layer_dim,dropout,residxSD, residxQE, residxSV, residxPR, residxHD, residexTL, resvalSD,resvalQE,resvalSV,resvalPR,resvalHD,resvalTL
BCELoss(),4,8,0.2,0,0,18,6,12,27,-0.002,-0.008,0.053,0.18,0.054,0.187
MSELoss(),4,16,0.1,0,1,15,20,28,29,-0.018,0.008,0.056,0.184,0.039,0.058
MSELoss(),4,16,0.1,13,2,9,12,27,29,0.031,0.048,0.057,0.183,0.054,0.058
MSELoss(),4,16,0.1,0,0,21,18,0,28,-0.037,0.008,0.056,0.183,0.077,0.058
MSELoss(),4,16,0.1,0,0,23,18,21,29,-0.05,-0.004,0.054,0.176,0.052,0.058
MSELoss(),4,16,0.1,0,0,8,16,0,29,0.008,0.023,0.054,0.182,0.087,0.058
BCELoss(),4,16,0.1,0,0,6,13,3,29,-0.039,0.0,0.054,0.161,0.077,0.187
BCELoss(),4,16,0.1,29,1,11,22,1,16,0.03,-0.0,0.054,0.178,0.058,0.187
BCELoss(),4,16,0.1,2,0,14,14,29,29,-0.062,0.011,0.056,0.182,0.028,0.187
BCELoss(),4,16,0.1,1,0,14,12,2,19,-0.056,0.014,0.057,0.177,0.093,0.187
BCELoss(),4,16,0.1,0,3,18,20,0,18,-0.052,0.048,0.056,0.184,-0.056,0.187
MSELoss(),4,16,0.2,1,0,13,18,0,29,0.026,0.026,0.056,0.183,-0.076,0.058
MSELoss(),4,16,0.2,1,0,9,25,29,26,-0.051,-0.012,0.054,0.177,0.026,0.058
MSELoss(),4,16,0.2,0,1,10,11,27,29,-0.016,-0.001,0.054,0.177,0.062,0.058
MSELoss(),4,16,0.2,0,1,15,26,0,29,-0.046,-0.008,0.057,0.184,-0.082,0.058
MSELoss(),4,16,0.2,1,0,29,23,29,29,-0.067,-0.008,0.057,0.184,-0.051,0.058
BCELoss(),4,16,0.2,1,0,12,12,0,16,0.017,0.031,0.056,0.183,0.069,0.187
BCELoss(),4,16,0.2,20,0,16,12,0,29,0.026,0.004,0.057,0.177,0.066,0.186
BCELoss(),4,16,0.2,0,1,12,27,0,20,-0.044,-0.004,0.056,0.184,-0.084,0.187
BCELoss(),4,16,0.2,0,0,21,13,21,18,0.027,-0.005,0.057,0.183,0.05,0.187
BCELoss(),4,16,0.2,0,0,9,10,0,29,0.028,0.011,0.051,0.173,0.086,0.186
MSELoss(),8,2,0.1,19,0,5,11,18,14,0.071,0.0,0.049,0.132,0.133,0.057
MSELoss(),8,2,0.1,29,0,3,13,29,29,0.017,0.028,0.048,0.159,0.067,0.057
MSELoss(),8,2,0.1,21,0,7,5,21,21,0.092,0.007,0.041,0.151,0.157,0.056
MSELoss(),8,2,0.1,29,0,2,5,27,29,0.126,0.05,0.033,0.162,0.13,0.056
MSELoss(),8,2,0.1,22,22,3,6,22,22,0.112,0.016,0.045,0.142,0.156,0.055
BCELoss(),8,2,0.1,28,1,2,6,23,29,0.017,0.011,0.028,0.141,0.064,0.186
BCELoss(),8,2,0.1,29,0,4,22,20,29,0.0,0.009,0.034,0.137,0.075,0.186
BCELoss(),8,2,0.1,18,0,4,7,29,28,0.02,0.002,0.039,0.144,0.098,0.185
BCELoss(),8,2,0.1,25,0,2,14,28,29,-0.039,0.018,0.054,0.145,0.076,0.186
BCELoss(),8,2,0.1,29,29,4,4,29,29,0.087,0.047,0.033,0.143,0.138,0.183
MSELoss(),8,2,0.2,26,0,4,8,29,29,0.016,0.0,0.035,0.145,0.069,0.057
MSELoss(),8,2,0.2,29,0,4,8,29,29,0.064,-0.005,0.04,0.139,0.075,0.057
MSELoss(),8,2,0.2,25,0,3,12,29,29,0.08,0.013,0.031,0.155,0.145,0.056
MSELoss(),8,2,0.2,29,0,2,14,29,29,-0.022,0.033,0.034,0.132,0.07,0.058
MSELoss(),8,2,0.2,29,0,6,9,29,29,0.072,-0.001,0.034,0.14,0.029,0.057
BCELoss(),8,2,0.2,27,0,2,3,29,29,-0.035,0.032,0.026,0.147,0.063,0.187
BCELoss(),8,2,0.2,28,0,3,4,17,29,0.018,0.016,0.037,0.146,0.069,0.185
BCELoss(),8,2,0.2,29,0,4,3,29,29,0.014,0.014,0.023,0.156,-0.024,0.187
BCELoss(),8,2,0.2,28,0,3,8,24,27,0.023,-0.001,0.035,0.147,0.062,0.185
BCELoss(),8,2,0.2,27,29,3,11,28,24,0.026,0.004,0.034,0.151,0.112,0.185
MSELoss(),8,4,0.1,14,0,2,8,24,17,0.027,0.01,0.054,0.17,0.059,0.057
MSELoss(),8,4,0.1,29,0,3,3,15,29,0.023,0.008,0.052,0.158,0.068,0.058
MSELoss(),8,4,0.1,24,0,5,6,24,21,0.071,0.006,0.046,0.17,0.153,0.057
MSELoss(),8,4,0.1,23,0,4,6,15,19,0.025,0.004,0.043,0.164,0.062,0.057
MSELoss(),8,4,0.1,0,26,3,3,19,29,0.035,-0.01,0.044,0.169,0.063,0.058
