,Dyad,Session,Temps de départ - hh:mm:ss.ms,temps de fin - hh:mm:ss.ms,Durée - hh:mm:ss.ms,P1,P2
77,4,2,00:13:47.449,00:13:48.033,00:00:00.584,okay yeah,
78,4,2,00:13:48.110,00:13:48.440,00:00:00.330,ops,
79,4,2,00:13:48.525,00:13:50.704,00:00:02.179,oh I just went to the next page (laughter),
80,4,2,00:13:52.254,00:13:54.890,00:00:02.636,pause filler oh you have to,
81,4,2,00:13:52.289,00:13:52.546,00:00:00.257,,pause filler
82,4,2,00:13:54.953,00:13:55.617,00:00:00.664,darn it,
83,4,2,00:13:56.062,00:13:58.851,00:00:02.789,I want to just multiply by the variables and get rid of them,
84,4,2,00:13:59.828,00:14:02.726,00:00:02.898,but negative six sevenths,
85,4,2,00:14:02.875,00:14:05.453,00:00:02.578,pause filler y plus yz,
86,4,2,00:14:05.453,00:14:07.234,00:00:01.781,subtract negative six-sevens,
87,4,2,00:14:07.234,00:14:12.750,00:00:05.516,minus sixty-one equals twenty-five because you subtract the y from both sides,
88,4,2,00:14:12.750,00:14:14.187,00:00:01.437,you get rid of that y,
89,4,2,00:14:14.291,00:14:14.461,00:00:00.170,,yeah
90,4,2,00:14:16.164,00:14:16.437,00:00:00.273,I think,
91,4,2,00:14:19.205,00:14:19.386,00:00:00.181,yeah,
92,4,2,00:14:32.174,00:14:34.932,00:00:02.758,pause filler wait I did something wrong,
93,4,2,00:14:37.120,00:14:37.684,00:00:00.564,,yeah
94,4,2,00:14:38.221,00:14:39.056,00:00:00.835,pause filler you don't,
95,4,2,00:14:39.123,00:14:40.952,00:00:01.829,you move the sixty-one first but,
96,4,2,00:14:42.643,00:14:44.915,00:00:02.272,oh I bet yeah you move the sixty-one first,
97,4,2,00:14:44.939,00:14:45.499,00:00:00.560,it's not in,
98,4,2,00:14:45.768,00:14:50.325,00:00:04.557,pause filler if you move the variables it's okay,
