,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,10,2,00:00:09.878,00:00:11.950,00:00:02.072,they put one up to the screen so,
1,10,2,00:00:20.900,00:00:21.850,00:00:00.950,,it's like he disappears
2,10,2,00:00:21.914,00:00:23.142,00:00:01.228,,and then oh he's on the screen
3,10,2,00:00:23.343,00:00:24.343,00:00:01.000,(laughter),
4,10,2,00:00:37.876,00:00:38.375,00:00:00.499,,yeah
5,10,2,00:01:01.124,00:01:01.722,00:00:00.598,,okay
6,10,2,00:01:02.012,00:01:03.039,00:00:01.027,they don't show up until,
7,10,2,00:01:03.039,00:01:05.304,00:00:02.265,,well we don't have a pen either
8,10,2,00:01:06.362,00:01:06.960,00:00:00.598,I got a mouse,
9,10,2,00:01:06.990,00:01:07.719,00:00:00.729,that's all I need (laughter),
10,10,2,00:01:07.719,00:01:08.926,00:00:01.207,,oh you got
11,10,2,00:01:08.926,00:01:11.241,00:00:02.315,,I don't have a mouse man
12,10,2,00:01:11.330,00:01:11.789,00:00:00.459,I do,
13,10,2,00:01:12.149,00:01:13.422,00:00:01.273,,oh do you have a pen
14,10,2,00:01:13.752,00:01:14.163,00:00:00.411,no,
15,10,2,00:01:14.396,00:01:19.138,00:00:04.742,,oh okay just (inaudible) I don't think it's going to compare
16,10,2,00:01:20.360,00:01:21.467,00:00:01.107,I all I have is I have a mouse,
17,10,2,00:01:21.467,00:01:22.186,00:00:00.719,and that's all I'm using,
18,10,2,00:01:22.186,00:01:23.842,00:00:01.656,because apparently one of the pens broke,
19,10,2,00:01:24.061,00:01:27.105,00:00:03.044,,oh I heard about that (laughter)
20,10,2,00:01:27.105,00:01:29.893,00:00:02.788,,because my brother here did a session yesterday
21,10,2,00:01:30.748,00:01:33.037,00:00:02.289,,and so he said his partner broke the pen
22,10,2,00:01:33.244,00:01:34.106,00:00:00.862,(laughter),
23,10,2,00:01:33.729,00:01:34.957,00:00:01.228,,so I'm sorry
24,10,2,00:01:35.186,00:01:37.222,00:00:02.036,,you must (inaudible) your pen
25,10,2,00:01:37.541,00:01:38.188,00:00:00.647,,oh well a mouse
26,10,2,00:01:37.803,00:01:38.125,00:00:00.322,I-,
27,10,2,00:01:38.427,00:01:39.905,00:00:01.478,,a mouse is probably easier anyway
28,10,2,00:01:39.905,00:01:41.855,00:00:01.950,yeah I'm better with mouses so,
29,10,2,00:01:41.955,00:01:42.597,00:00:00.642,,yeah
30,10,2,00:01:42.748,00:01:43.588,00:00:00.840,mouses,
31,10,2,00:01:44.716,00:01:46.628,00:00:01.912,,I think I could do either one
32,10,2,00:01:48.596,00:01:49.660,00:00:01.064,,when did you die your hair
33,10,2,00:01:50.528,00:01:51.855,00:00:01.327,pause filler a couple of days ago,
34,10,2,00:01:51.691,00:01:53.993,00:00:02.302,,oh really cool is it permanent
35,10,2,00:01:54.194,00:01:54.861,00:00:00.667,,or is it temporary
36,10,2,00:01:55.540,00:01:56.276,00:00:00.736,yeah permanent,
37,10,2,00:01:56.540,00:01:58.201,00:00:01.661,,okay I like it
38,10,2,00:02:05.038,00:02:06.545,00:00:01.507,,I wonder if
39,10,2,00:02:06.545,00:02:09.238,00:00:02.693,,okay just make sure I'm in the frame
40,10,2,00:02:09.691,00:02:10.591,00:00:00.900,,am I on the frame
41,10,2,00:02:09.924,00:02:10.477,00:00:00.553,yup,
42,10,2,00:02:11.693,00:02:12.012,00:00:00.319,,okay good
