"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:00:00.372,00:00:06.398,00:00:06.026,,"yeah that's to synchronize the videos pause filler (inaudible) minimizes and pause filler",,,
00:00:06.398,00:00:09.042,00:00:02.644,,"try to get some things on our servers worked on",,,
00:00:09.042,00:00:09.142,00:00:00.100,,,"okay",,
00:00:09.192,00:00:11.197,00:00:02.005,,"and so",,,
00:00:11.636,00:00:12.025,00:00:00.389,,,,"okay",
00:00:14.659,00:00:16.944,00:00:02.285,,,"hey okay weird question do you go to PA Cyber",,
00:00:17.323,00:00:17.892,00:00:00.569,,,,"yup",
00:00:18.311,00:00:20.356,00:00:02.045,,,"okay I saw you at pause filler the PSSAs",,
00:00:20.496,00:00:21.563,00:00:01.067,,,,"I knew you look familiar",
00:00:21.563,00:00:22.541,00:00:00.978,,,,"I knew it",
00:00:22.561,00:00:22.701,00:00:00.140,,,"I know",,
00:00:22.950,00:00:24.128,00:00:01.178,,,"I walked by the room",,
00:00:24.128,00:00:25.385,00:00:01.257,,,"and I saw you through the window",,
00:00:25.385,00:00:27.300,00:00:01.915,,,"I was like wait a minute",,
00:00:27.470,00:00:27.809,00:00:00.339,,,,"I know",
00:00:28.747,00:00:31.006,00:00:02.259,,,,"because I knew I saw you before I just never talked to you before",
00:00:31.380,00:00:31.870,00:00:00.490,,,"it was weird",,
00:00:32.870,00:00:33.876,00:00:01.006,,,"it was like deja vu",,
00:00:43.554,00:00:44.691,00:00:01.137,,,,"I knew you look familiar",
00:00:44.821,00:00:49.221,00:00:04.400,,"(inaudible) cool feel free to (inaudible) and talk for a bit",,,
00:00:50.029,00:00:50.248,00:00:00.219,,,,"yay (laughter)",
00:00:50.438,00:00:52.124,00:00:01.686,,,"should I go to page one",,
00:00:52.124,00:00:54.469,00:00:02.345,,,"because I'm on page two right now",,
00:00:54.668,00:00:58.360,00:00:03.692,,,,"pause filler mine is on top so let's go",
00:00:58.360,00:00:58.500,00:00:00.140,,,"okay",,
00:00:58.939,00:01:06.082,00:00:07.143,,"okay so before you guys start tutoring pause filler we need to calibrate the pens",,,
