,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,5,2,00:00:00.711,00:00:02.617,00:00:01.906,all right yeah,
1,5,2,00:00:02.750,00:00:05.590,00:00:02.840,so pause filler what's new,
2,5,2,00:00:06.358,00:00:08.354,00:00:01.996,,pause filler nothing really
3,5,2,00:00:10.369,00:00:13.138,00:00:02.769,(laughter) well I'm just planning of making my new video ,
4,5,2,00:00:13.162,00:00:15.131,00:00:01.969,pause filler about Pittsburgh history,
5,5,2,00:00:15.238,00:00:16.864,00:00:01.626,it's up like abridged,
6,5,2,00:00:17.253,00:00:20.316,00:00:03.063,so it's going to be like a really short,
7,5,2,00:00:20.396,00:00:24.257,00:00:03.861,and like I guess a little bit I don't know insulting,
8,5,2,00:00:24.796,00:00:26.283,00:00:01.487,and it's going to be like,
9,5,2,00:00:26.562,00:00:29.376,00:00:02.814,all right so the way Pittsburgh started yo,
10,5,2,00:00:29.376,00:00:33.047,00:00:03.671,it was just like so this brick bitch guy who just like,
11,5,2,00:00:33.097,00:00:35.023,00:00:01.926,he saw this like French colony,
12,5,2,00:00:35.023,00:00:35.811,00:00:00.788,he was like oh no,
13,5,2,00:00:35.811,00:00:37.098,00:00:01.287,this is owned by Pitt,
14,5,2,00:00:37.098,00:00:39.602,00:00:02.504,so he go and named it Pitt's bag without an h,
15,5,2,00:00:39.602,00:00:40.211,00:00:00.609,take note,
16,5,2,00:00:40.480,00:00:43.144,00:00:02.664,and you know so it's sort of something like that,
17,5,2,00:00:43.144,00:00:44.761,00:00:01.617,and I just started on this script,
18,5,2,00:00:45.489,00:00:46.547,00:00:01.058,and it's going to be pretty good,
19,5,2,00:00:47.505,00:00:48.073,00:00:00.568,,let's hope
20,5,2,00:00:48.602,00:00:54.958,00:00:06.356,yeah if it gets like a million views I'm going to be so happy,
21,5,2,00:00:55.866,00:00:58.220,00:00:02.354,,I think my highest number of views is twelve
22,5,2,00:00:59.747,00:01:05.075,00:00:05.328,pause filler mine is pause filler one thousand,
23,5,2,00:01:06.000,00:01:06.726,00:00:00.726,,(inaudible)
24,5,2,00:01:06.611,00:01:08.676,00:00:02.065,yeah that's a lot,
25,5,2,00:01:10.782,00:01:12.617,00:00:01.835,,I got to start working on stuff
26,5,2,00:01:12.867,00:01:14.463,00:00:01.596,yeah again,
27,5,2,00:01:14.513,00:01:21.208,00:00:06.695,and my second was like at least three hundred views yeah,
28,5,2,00:01:21.208,00:01:23.193,00:00:01.985,,that's actually like a pretty wide gap
29,5,2,00:01:24.231,00:01:26.556,00:00:02.325,,three thousand and pause filler three hundred
30,5,2,00:01:26.656,00:01:38.559,00:00:11.903,yeah it was only because I pause filler basically there's this video of this kid who was just banned from like a game that I play,
31,5,2,00:01:39.157,00:01:43.278,00:00:04.121,and like it was really famous across the website,
32,5,2,00:01:44.046,00:01:46.560,00:00:02.514,and I got the video of him like swearing up the camera,
33,5,2,00:01:46.560,00:01:48.057,00:00:01.497,it was so funny,
34,5,2,00:01:48.366,00:01:50.761,00:00:02.395,and I got like a thousand views off,
35,5,2,00:01:50.761,00:01:51.958,00:00:01.197,and I was like yes,
36,5,2,00:01:53.325,00:01:57.476,00:00:04.151,,pause filler I got to figure out how to do some of that stuff so
37,5,2,00:01:57.815,00:01:58.284,00:00:00.469,oh,
38,5,2,00:01:59.551,00:02:04.599,00:00:05.048,there's other like for people like you like pause filler,
39,5,2,00:02:05.318,00:02:10.316,00:00:04.998,there's many ways of creating videos and getting lots of views,
40,5,2,00:02:10.316,00:02:17.700,00:00:07.384,somehow like you could pause filler talk about a guy who pause filler were a lot of things just happened to him,
41,5,2,00:02:17.749,00:02:19.855,00:00:02.106,pause filler you can pull off a DramaAlert,
42,5,2,00:02:19.855,00:02:22.678,00:00:02.823,you could pause filler you know him DramaAlert,
43,5,2,00:02:22.938,00:02:23.327,00:00:00.389,,no
44,5,2,00:02:23.736,00:02:27.517,00:00:03.781,he's basically just this guy on the internet that nobody likes,
45,5,2,00:02:27.517,00:02:30.500,00:00:02.983,and he talks about YouTube news quote unquote,
46,5,2,00:02:30.969,00:02:35.978,00:00:05.009,and he just overdramatizes everything on the website,
47,5,2,00:02:35.978,00:02:41.485,00:00:05.507,so you can pull off a thing like that pause filler you can make anime music videos,
48,5,2,00:02:42.493,00:02:43.261,00:00:00.768,,oh yeah
49,5,2,00:02:43.261,00:02:48.300,00:00:05.039,,I think I was doing something like that a while ago
