,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,6,2,00:00:02.287,00:00:05.147,00:00:02.860,,am I gonna (inaudible) now or like do I have to take 
1,6,2,00:00:14.802,00:00:15.435,00:00:00.633,okay,
2,6,2,00:00:15.861,00:00:16.989,00:00:01.128,,oh okay yeah 
3,6,2,00:00:17.440,00:00:18.080,00:00:00.640,oh oh,
4,6,2,00:00:38.772,00:00:39.050,00:00:00.278,,alright 
5,6,2,00:00:40.390,00:00:41.555,00:00:01.165,wait I'm so confused,
6,6,2,00:00:42.350,00:00:42.640,00:00:00.290,,yeah
7,6,2,00:01:13.460,00:01:15.590,00:00:02.130,,so uh.. how are you
8,6,2,00:01:16.060,00:01:18.195,00:00:02.135,good (laughter) how are you,
9,6,2,00:01:18.720,00:01:20.070,00:00:01.350,,good (pause filler) yeah
10,6,2,00:01:20.680,00:01:21.661,00:00:00.981,boring.. ,
11,6,2,00:01:23.471,00:01:28.017,00:00:04.546,I had to take a math test this morning  so I could get extra credit and that,
12,6,2,00:01:28.017,00:01:30.118,00:00:02.101,and now we're doing more math,
13,6,2,00:01:30.746,00:01:32.622,00:00:01.876,but this math is really easy,
14,6,2,00:01:32.622,00:01:34.109,00:00:01.487,so it's not a big deal,
15,6,2,00:01:32.650,00:01:33.137,00:00:00.487,,yeah 
16,6,2,00:01:39.971,00:01:43.337,00:00:03.366,don't want that little one don't like it go away ,
17,6,2,00:01:48.775,00:01:51.051,00:00:02.276,this makes my life super easy ,
18,6,2,00:03:34.315,00:03:34.725,00:00:00.410,hold on,
19,6,2,00:03:50.645,00:03:52.105,00:00:01.460,I'm rewriting the problem,
20,6,2,00:03:52.167,00:03:52.474,00:00:00.307,hold on,
21,6,2,00:03:53.183,00:03:54.510,00:00:01.327,,wait do you have your stylus
22,6,2,00:03:55.168,00:03:56.146,00:00:00.978,no it doesn't work,
23,6,2,00:03:56.820,00:03:57.943,00:00:01.123,,oh they took mine
24,6,2,00:04:01.130,00:04:02.230,00:00:01.100,just use the mouse,
25,6,2,00:04:03.182,00:04:04.853,00:00:01.671,,I don't have a mouse either
26,6,2,00:04:06.080,00:04:08.079,00:00:01.999,they're so mean jeez ,
27,6,2,00:04:08.627,00:04:10.064,00:00:01.437,,yeah they don't really trust us
28,6,2,00:04:11.565,00:04:12.212,00:00:00.647,well ,
29,6,2,00:04:12.687,00:04:13.745,00:00:01.058,look what I've done,
30,6,2,00:04:14.800,00:04:16.972,00:00:02.172,I erased the problem on accident,
31,6,2,00:04:17.837,00:04:20.431,00:00:02.594,,they even exxed out the like problem things
32,6,2,00:04:20.431,00:04:20.951,00:00:00.520,,so 
33,6,2,00:04:20.951,00:04:23.017,00:00:02.066,,I can't really like see anything 
34,6,2,00:04:25.107,00:04:26.305,00:00:01.198,what are we going to do,
35,6,2,00:04:26.305,00:04:28.035,00:00:01.730,like we're not that bad right,
36,6,2,00:04:28.477,00:04:28.597,00:00:00.120,,(laughter)
37,6,2,00:04:34.259,00:04:35.836,00:00:01.577,(sfx) I'm really tired,
38,6,2,00:04:38.480,00:04:40.994,00:00:02.514,I honestly just like want to go home and sleep,
39,6,2,00:04:41.303,00:04:41.602,00:00:00.299,,yeah
40,6,2,00:04:43.828,00:04:46.880,00:00:03.052,instead I get stuck here doing math,
41,6,2,00:04:48.861,00:04:50.089,00:00:01.228,but at least we get paid,
42,6,2,00:04:50.092,00:04:51.480,00:00:01.388,but I don't think we're getting paid,
43,6,2,00:04:54.987,00:04:56.902,00:00:01.915,,did you get fifteen dollars last time
44,6,2,00:04:57.477,00:04:57.942,00:00:00.465,yeah,
45,6,2,00:04:58.820,00:04:58.963,00:00:00.143,,okay
46,6,2,00:04:59.650,00:05:01.577,00:00:01.927,I spent most of it already,
47,6,2,00:05:02.380,00:05:02.690,00:00:00.310,oops,
48,6,2,00:05:06.492,00:05:08.422,00:00:01.930,see here's my broken stylus,
49,6,2,00:05:08.795,00:05:09.925,00:00:01.130,it's very entertaining,
50,6,2,00:05:19.137,00:05:19.167,00:00:00.030,,oh
51,6,2,00:05:29.500,00:05:32.420,00:00:02.920,(sfx) I don't feel,
52,6,2,00:05:34.769,00:05:39.162,00:00:04.393,at least it's so we can go until six to the time they told our parents we'll be done,
53,6,2,00:05:39.735,00:05:39.889,00:00:00.154,,yeah 
54,6,2,00:05:41.059,00:05:42.141,00:00:01.082,,so today we're getting like 
55,6,2,00:05:42.492,00:05:44.376,00:00:01.884,,twenty-five dollars oh okay
56,6,2,00:05:46.356,00:05:47.220,00:00:00.864,supposedly,
57,6,2,00:05:47.892,00:05:51.338,00:00:03.446,,"I really hope they don't give us Skittles again, I don't like those, I don't "
58,6,2,00:05:51.378,00:05:52.211,00:00:00.833,I don't either ,
59,6,2,00:05:53.035,00:05:55.352,00:00:02.317,I hope they give us M&Ms or something ,
60,6,2,00:05:55.804,00:05:56.330,00:00:00.526,,That'd be good 
61,6,2,00:05:57.351,00:06:00.753,00:00:03.402,I had (inaudible) before this so I'm not that hungry but still ,
62,6,2,00:06:02.997,00:06:04.506,00:00:01.509,I don't know I'm just going to refresh the page,
63,6,2,00:06:05.700,00:06:08.286,00:00:02.586,there I fixed it I think,
64,6,2,00:06:17.793,00:06:19.717,00:00:01.924,okay so I break one all right,
65,6,2,00:06:23.072,00:06:23.981,00:00:00.909,,They're coming back
66,6,2,00:06:25.817,00:06:26.705,00:00:00.888,oh fun,
67,6,2,00:06:28.392,00:06:30.032,00:00:01.640,how fun and exciting for me,
68,6,2,00:07:13.168,00:07:14.345,00:00:01.177,okay,
69,6,2,00:07:26.218,00:07:33.452,00:00:07.234,,am I teaching her
70,6,2,00:07:35.697,00:07:41.603,00:00:05.906,,or she's teaching me
71,6,2,00:07:39.783,00:07:41.189,00:00:01.406,what,
72,6,2,00:07:45.391,00:07:46.283,00:00:00.892,okay,
73,6,2,00:07:55.681,00:08:03.324,00:00:07.643,,okay so I think you're teaching me or something
74,6,2,00:08:03.803,00:08:04.102,00:00:00.299,yup,
75,6,2,00:08:05.080,00:08:07.784,00:00:02.704,so you know how to do this problem,
76,6,2,00:08:07.784,00:08:09.081,00:00:01.297,what do you see on your screen,
77,6,2,00:08:09.191,00:08:13.491,00:00:04.300,,pause filler fourteen equals three eights k yeah
78,6,2,00:08:13.990,00:08:17.113,00:00:03.123,okay so what would you do first,
79,6,2,00:08:17.312,00:08:19.368,00:00:02.056,,(inaudible) oh it's not writing
80,6,2,00:08:19.507,00:08:24.606,00:00:05.099,,I'll multiply it by hey whatever
81,6,2,00:08:28.094,00:08:29.513,00:00:01.419,sorry sorry,
82,6,2,00:08:28.547,00:08:30.113,00:00:01.566,,wait everything's turned out
83,6,2,00:08:30.783,00:08:42.944,00:00:12.161,I was trying to erase that a because you wrote it all and eighteen and eighteen,
84,6,2,00:08:43.283,00:08:51.824,00:00:08.541,,equals three k and one hundred and twelve divided by three
85,6,2,00:08:54.218,00:08:55.895,00:00:01.677,thirty-seven or something like that,
86,6,2,00:08:56.344,00:08:58.898,00:00:02.554,,equals yeah this
87,6,2,00:09:01.871,00:09:02.569,00:00:00.698,good job,
88,6,2,00:09:04.086,00:09:05.433,00:00:01.347,,okay next one
89,6,2,00:09:06.590,00:09:10.122,00:00:03.532,negative two thirds y that is eighteen it's fifty-two,
90,6,2,00:09:10.122,00:09:12.627,00:00:02.505,so what would you do first to this eighteen,
91,6,2,00:09:13.245,00:09:14.921,00:00:01.676,,well you would add that
92,6,2,00:09:15.191,00:09:15.789,00:00:00.598,,oh my
93,6,2,00:09:16.208,00:09:18.673,00:00:02.465,,this is intense
94,6,2,00:09:21.297,00:09:22.763,00:00:01.466,(inaudible) I'm so tired,
95,6,2,00:09:27.612,00:09:29.319,00:00:01.707,I don't like that they took my phone,
96,6,2,00:09:30.356,00:09:30.576,00:00:00.220,,yeah
97,6,2,00:09:33.094,00:09:35.337,00:00:02.243,oh right I have to put my face on the screen the whole time,
98,6,2,00:09:38.000,00:09:38.360,00:00:00.360,,hmm
99,6,2,00:09:40.473,00:09:43.177,00:00:02.704,what are they even using this information for,
100,6,2,00:09:45.662,00:09:49.040,00:00:03.378,what are they even using this information for I don't even understand (inaudible),
101,6,2,00:09:48.685,00:10:02.264,00:00:13.579,,I think to like help children like learn algebra better or something
102,6,2,00:09:56.140,00:10:00.140,00:00:04.000,oh pause filler,
103,6,2,00:10:02.264,00:10:02.503,00:00:00.239,,yeah pause filler
104,6,2,00:10:02.822,00:10:04.449,00:00:01.627,,okay that's nice
105,6,2,00:10:04.708,00:10:10.455,00:00:05.747,,thanks to him half
106,6,2,00:10:11.223,00:10:21.859,00:00:10.636,,just subtract the thirteen that would be thirty-one
107,6,2,00:10:23.476,00:10:26.598,00:00:03.122,,and then you would multiply this by two
108,6,2,00:10:28.953,00:10:33.163,00:00:04.210,,that's x equals sixty-two
109,6,2,00:10:33.762,00:10:35.807,00:00:02.045,,oh my gosh okay
110,6,2,00:10:35.807,00:10:36.753,00:00:00.946,wow,
111,6,2,00:10:36.376,00:10:37.324,00:00:00.948,,okay next one
112,6,2,00:10:38.082,00:10:39.579,00:00:01.497,,add the sixteen
113,6,2,00:10:41.644,00:10:44.693,00:00:03.049,have you used the calligraphy pen it's a little bit easier,
114,6,2,00:10:44.700,00:10:46.313,00:00:01.613,,wait where is that
115,6,2,00:10:46.273,00:10:48.006,00:00:01.733,it's a socket pen option,
116,6,2,00:10:48.006,00:10:50.300,00:00:02.294,you can select it with this one,
117,6,2,00:10:53.717,00:10:54.814,00:00:01.097,,oh okay
118,6,2,00:10:54.944,00:11:01.958,00:00:07.014,,forty equals three six over x
119,6,2,00:11:40.730,00:11:44.140,00:00:03.410,,okay that was fun (sfx)
120,6,2,00:11:44.140,00:11:47.210,00:00:03.070,,and ninety-seven minus forty-eight equals nine nine
121,6,2,00:11:47.744,00:11:50.647,00:00:02.903,,so ninety-nine
122,6,2,00:11:50.647,00:11:53.820,00:00:03.173,,okay next one
123,6,2,00:13:22.390,00:13:23.985,00:00:01.595,I wonder if they're watching us,
124,6,2,00:13:24.484,00:13:24.843,00:00:00.359,,they are
125,6,2,00:13:24.843,00:13:26.559,00:00:01.716,,they're recording like the whole audio
126,6,2,00:13:26.559,00:13:29.812,00:00:03.253,oh that's so creepy,
127,6,2,00:13:29.812,00:13:31.798,00:00:01.986,oh my gosh my gosh,
128,6,2,00:13:32.985,00:13:34.222,00:00:01.237,why did I agree to this,
129,6,2,00:13:41.810,00:13:43.202,00:00:01.392,We both know how to do this,
130,6,2,00:13:43.202,00:13:46.245,00:00:03.043,like I don't feel like we're teaching each other anything I mean the whole (inaudible),
131,6,2,00:13:45.985,00:13:46.165,00:00:00.180,,yeah
132,6,2,00:13:48.260,00:13:52.515,00:00:04.255,if nothing they should have done the study earlier in the year when we didn't know as much about algebra,
133,6,2,00:13:53.179,00:13:53.368,00:00:00.189,,yeah
134,6,2,00:13:53.718,00:13:56.681,00:00:02.963,are you guys doing like radicals and stuff cuz that's what we're doing,
135,6,2,00:13:56.681,00:13:58.080,00:00:01.399,and that's so boring,
136,6,2,00:13:57.988,00:14:01.600,00:00:03.612,,pause filler we're doing like factoring polynomials or something
137,6,2,00:14:02.140,00:14:04.340,00:00:02.200,oh yeah we did that last year,
138,6,2,00:14:04.340,00:14:05.630,00:00:01.290,and it was really boring,
139,6,2,00:14:08.065,00:14:09.240,00:00:01.175,I hated it,
140,6,2,00:14:18.130,00:14:21.800,00:00:03.670,okay that's a negative eight (inaudible) so yeah you should probably point that out there ,
141,6,2,00:14:23.448,00:14:25.103,00:00:01.655,oh that's a negative ,
142,6,2,00:14:25.205,00:14:27.690,00:00:02.485,so what do you do when you see a negative,
143,6,2,00:14:28.209,00:14:32.150,00:00:03.941,,well you add eighty-three to seventeen
144,6,2,00:14:32.500,00:14:33.946,00:00:01.446,and then what do you get,
145,6,2,00:14:33.946,00:14:34.285,00:00:00.339,,oh my
146,6,2,00:14:34.285,00:14:40.990,00:00:06.705,,lets just show our work here cuz we get a hundred (sfx)
147,6,2,00:14:41.430,00:14:45.450,00:00:04.020,no no it's negative eighty oh yeah never mind never mind you're right you're right you're right (inaudible),
148,6,2,00:14:47.270,00:14:50.200,00:00:02.930,it's a hundred,
149,6,2,00:15:09.450,00:15:14.710,00:00:05.260,,equals one hundred plus ten third x minus three times three equals one hundred thirty-three three hundred
150,6,2,00:15:14.710,00:15:17.750,00:00:03.040,,so hard to write with this thing
151,6,2,00:15:17.146,00:15:18.393,00:00:01.247,I know,
152,6,2,00:15:20.540,00:15:22.420,00:00:01.880,good job,
153,6,2,00:15:49.405,00:15:54.942,00:00:05.537,,then you subtract
154,6,2,00:15:54.942,00:15:59.911,00:00:04.969,,I'm going to back
155,6,2,00:15:59.911,00:16:00.909,00:00:00.998,,x wait what oh
156,6,2,00:16:01.288,00:16:05.458,00:00:04.170,,okay that was nice
157,6,2,00:16:05.458,00:16:08.511,00:00:03.053,,pause filler fifty-five minus thirty-four equals twenty-one
158,6,2,00:16:08.511,00:16:22.061,00:00:13.550,,so nineteen over four five plus twenty-one equals fourteen y
159,6,2,00:16:22.061,00:16:38.334,00:00:16.273,,twenty-four equals one hundred over nineteen equals twenty-one
160,6,2,00:16:38.334,00:16:40.259,00:00:01.925,,oh fifty-six
161,6,2,00:16:41.240,00:16:42.240,00:00:01.000,mm-hmm,
162,6,2,00:16:41.476,00:16:49.119,00:00:07.643,,nineteen y equals thirty-five equals
163,6,2,00:16:51.833,00:16:53.798,00:00:01.965,,okay next one
164,6,2,00:16:54.846,00:16:55.006,00:00:00.160,,pause filler okay
