,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,6,1,00:00:12.088,00:00:15.891,00:00:03.803,,okay pause filler well hi
1,6,1,00:00:16.260,00:00:16.784,00:00:00.524,hi,
2,6,1,00:00:17.955,00:00:22.348,00:00:04.393,,pause filler I think I like met you at that like TechNights thing or something
3,6,1,00:00:22.561,00:00:23.369,00:00:00.808,yeah,
4,6,1,00:00:23.768,00:00:27.794,00:00:04.026,,I remember you were wearing like the (inaudible) hat or something I don't know
5,6,1,00:00:27.800,00:00:28.069,00:00:00.269,yeah,
6,6,1,00:00:29.388,00:00:36.310,00:00:06.922,okay,
7,6,1,00:00:38.136,00:00:41.368,00:00:03.232,yeah that was like a few months ago right,
8,6,1,00:00:41.847,00:00:42.197,00:00:00.350,,yeah
9,6,1,00:00:42.616,00:00:43.266,00:00:00.650,what's your name,
10,6,1,00:00:43.800,00:00:45.349,00:00:01.549,,Ania what's yours
11,6,1,00:00:45.798,00:00:46.188,00:00:00.390,Liz,
12,6,1,00:00:46.477,00:00:46.726,00:00:00.249,,okay
13,6,1,00:00:51.635,00:00:54.678,00:00:03.043,I'm literally doing this study because I found that I was getting paid,
14,6,1,00:00:55.417,00:00:57.292,00:00:01.875,,yeah that�s why I'm doing it
15,6,1,00:00:57.292,00:00:58.534,00:00:01.242,I think that�s why everyone�s doing it,
16,6,1,00:01:00.894,00:01:02.820,00:00:01.926,at least that shouldn't be that horribly hard right,
17,6,1,00:01:03.391,00:01:06.623,00:00:03.232,,yeah the math seems pretty easy so
18,6,1,00:01:05.623,00:01:12.857,00:00:07.234,yeah it's not like word problems so (inaudible) because I don't know anything about those,
19,6,1,00:01:16.399,00:01:17.546,00:00:01.147,he took the stylus,
20,6,1,00:01:18.305,00:01:19.891,00:00:01.586,,yeah he took it as well
21,6,1,00:01:21.797,00:01:23.800,00:00:02.003,is that part of the study (laughter),
22,6,1,00:01:28.640,00:01:29.291,00:00:00.651,probably,
23,6,1,00:01:29.968,00:01:30.118,00:00:00.150,,yeah
24,6,1,00:01:43.437,00:01:45.652,00:00:02.215,so many like people walking around the building,
25,6,1,00:01:45.652,00:01:47.578,00:00:01.926,and literally everyone has looked into this room,
26,6,1,00:01:47.578,00:01:49.085,00:00:01.507,and it's so uncomfortable,
27,6,1,00:01:52.926,00:01:55.330,00:00:02.404,,yeah they're like go yeah sorry
28,6,1,00:01:55.749,00:01:57.705,00:00:01.956,they just like put me in this little lab,
29,6,1,00:01:57.705,00:01:59.980,00:00:02.275,and there's at least games and stuff in it it's like,
30,6,1,00:02:01.506,00:02:03.532,00:00:02.026,,yeah they just left me for twenty minutes
31,6,1,00:02:03.532,00:02:05.108,00:00:01.576,,I had no idea where anyone was
32,6,1,00:02:05.108,00:02:07.433,00:00:02.325,,so I was like did they forget about me
33,6,1,00:02:09.780,00:02:10.922,00:00:01.142,no they left me,
34,6,1,00:02:11.535,00:02:13.010,00:00:01.475,I don't know why but left me here for a while,
35,6,1,00:02:13.010,00:02:14.317,00:00:01.307,and I was just sat on my phone,
36,6,1,00:02:14.317,00:02:15.265,00:00:00.948,and then they took it,
37,6,1,00:02:15.624,00:02:17.251,00:00:01.627,,yeah they took my phone
38,6,1,00:02:18.727,00:02:19.920,00:00:01.193,there,
39,6,1,00:02:20.727,00:02:25.781,00:00:05.054,there but you know it's distracting,
40,6,1,00:02:25.991,00:02:26.200,00:00:00.209,,yeah
41,6,1,00:02:27.348,00:02:31.678,00:00:04.330,because then I have a calculator ,
42,6,1,00:02:35.569,00:02:36.880,00:00:01.311,(inaudible) person,
43,6,1,00:02:51.020,00:02:51.652,00:00:00.632,this pencil is fancy yeah,
44,6,1,00:03:47.933,00:03:50.504,00:00:02.571,there's a person at the door but it's not him,
45,6,1,00:03:52.161,00:03:54.589,00:00:02.428,,are there loads of people like walking past you or something
46,6,1,00:03:54.821,00:03:58.760,00:00:03.939,yeah wait are you like at the end of the hall or something,
47,6,1,00:03:58.760,00:04:00.750,00:00:01.990,or are you like in a totally different area,
48,6,1,00:04:01.363,00:04:01.973,00:00:00.610,,I don't know
49,6,1,00:04:01.973,00:04:04.856,00:00:02.883,,all I'm seeing is like loads of desks and chairs
50,6,1,00:04:05.385,00:04:07.879,00:00:02.494,where are you downstairs or upstairs,
51,6,1,00:04:08.009,00:04:08.717,00:00:00.708,,upstairs
52,6,1,00:04:10.324,00:04:10.726,00:00:00.402,oh,
53,6,1,00:04:13.426,00:04:13.836,00:00:00.410,it's weird,
54,6,1,00:04:13.836,00:04:16.180,00:00:02.344,because it looks like you're just against the blank wall right now,
55,6,1,00:04:17.630,00:04:20.229,00:00:02.599,and then I have like a whole room behind me,
56,6,1,00:04:22.806,00:04:24.803,00:00:01.997,really nice (inaudible) here (inaudible) computer,
57,6,1,00:05:01.673,00:05:03.300,00:00:01.627,Okay where are they,
58,6,1,00:05:03.480,00:05:05.898,00:00:02.418,,I know they said like they take like five minutes but
59,6,1,00:05:06.153,00:05:11.241,00:00:05.088,well that�s what the packets (inaudible)  I saw it wait I don't think I should say that (inaudible),
60,6,1,00:05:47.524,00:05:49.105,00:00:01.581,,I wish I had my phone
61,6,1,00:05:54.335,00:05:55.960,00:00:01.625,there's why (inaudible) and stuff,
62,6,1,00:05:57.780,00:05:59.865,00:00:02.085,,when they asked to take it away I was like
63,6,1,00:05:59.865,00:06:02.868,00:00:03.003,,I could just say no and just keep it but
64,6,1,00:06:04.127,00:06:06.929,00:00:02.802,we're getting paid forty bucks for ninety minutes,
65,6,1,00:06:07.018,00:06:08.226,00:00:01.208,I think that�s under minimum (inaudible),
66,6,1,00:06:08.415,00:06:10.570,00:00:02.155,or that is minimum wage,
67,6,1,00:06:16.340,00:06:19.735,00:00:03.395,the last study I did here took like five minutes and they paid me twenty bucks ,
68,6,1,00:06:22.225,00:06:24.399,00:00:02.174,an hour and a half,
69,6,1,00:06:24.399,00:06:29.747,00:00:05.348,I didn't realize I was signing up to do math problems that I did for a homework,
70,6,1,00:06:29.747,00:06:30.405,00:00:00.658,,are you an eighth grader
71,6,1,00:06:30.984,00:06:31.751,00:00:00.767,yeah are you,
72,6,1,00:06:31.920,00:06:32.600,00:00:00.680,,yeah same
73,6,1,00:06:33.280,00:06:33.937,00:00:00.657,where do you go to school,
74,6,1,00:06:34.406,00:06:36.571,00:00:02.165,,Folk School where do you go
75,6,1,00:06:37.070,00:06:37.699,00:00:00.629,I go to Shadyside,
76,6,1,00:06:37.699,00:06:39.944,00:00:02.245,but I'm going to Winchester next year so,
77,6,1,00:06:39.944,00:06:40.163,00:00:00.219,,okay
78,6,1,00:06:41.163,00:06:41.939,00:00:00.776,I don't like Shadyside,
79,6,1,00:06:44.262,00:06:45.750,00:00:01.488,oh my god I just broke the pencil,
80,6,1,00:06:57.557,00:07:00.040,00:00:02.483,okay they're back okay,
81,6,1,00:07:21.278,00:07:22.902,00:00:01.624,oh wait I can use the mask can I,
82,6,1,00:07:31.589,00:07:33.229,00:00:01.640,,yeah I think he took the stylus
83,6,1,00:07:33.693,00:07:34.400,00:00:00.707,,okay
84,6,1,00:07:37.628,00:07:38.990,00:00:01.362,so we're both on the same one,
85,6,1,00:07:40.227,00:07:41.633,00:00:01.406,so can I see her screen or no,
86,6,1,00:07:46.919,00:07:47.500,00:00:00.581,okay,
87,6,1,00:07:49.675,00:07:52.319,00:00:02.644,so can she see my writing on this website or not,
88,6,1,00:07:52.798,00:07:53.007,00:00:00.209,okay,
89,6,1,00:07:56.929,00:07:58.106,00:00:01.177,okay so,
90,6,1,00:07:58.994,00:08:02.087,00:00:03.093,thank you so I'm presuming you know how to do this,
91,6,1,00:08:02.296,00:08:03.404,00:00:01.108,,yes I do
92,6,1,00:08:03.863,00:08:05.659,00:00:01.796,so like I guess solve it,
93,6,1,00:08:06.527,00:08:09.590,00:00:03.063,,okay pause filler how do I use this yes
94,6,1,00:08:09.999,00:08:11.466,00:00:01.467,just write on the tape,
95,6,1,00:08:11.765,00:08:13.471,00:00:01.706,,do I like show my work
96,6,1,00:08:14.219,00:08:16.165,00:00:01.946,if you want to okay,
97,6,1,00:08:16.165,00:08:26.152,00:00:09.987,,I'll show this is so weird plus six (laughter) like this is so
98,6,1,00:08:25.255,00:08:26.210,00:00:00.955,it's so easy,
99,6,1,00:08:26.210,00:08:28.068,00:00:01.858,wait why did they have you writing in green,
100,6,1,00:08:28.427,00:08:31.340,00:00:02.913,I thought you're supposed to write in black yeah whatever,
101,6,1,00:08:31.340,00:08:34.872,00:00:03.532,,just click undo undo undo undo
102,6,1,00:08:35.391,00:08:36.748,00:00:01.357,oh that�s so weird,
103,6,1,00:08:37.666,00:08:38.820,00:00:01.154,that�s like wait (inaudible),
104,6,1,00:08:39.500,00:08:42.188,00:00:02.688,,x x x wow
105,6,1,00:08:42.174,00:08:44.703,00:00:02.529,oh never mind we're writing in different shades okay (inaudible),
106,6,1,00:08:45.360,00:08:46.604,00:00:01.244,wait what's it doing,
107,6,1,00:08:47.283,00:08:49.320,00:00:02.037,,my writing looks really bad okay
108,6,1,00:08:49.320,00:08:50.607,00:00:01.287,that was fun,
109,6,1,00:08:51.215,00:08:53.969,00:00:02.754,so yeah that�s such an easy basic problem,
110,6,1,00:08:54.238,00:08:55.226,00:00:00.988,,moving on to the
111,6,1,00:08:55.316,00:08:58.279,00:00:02.963,my math oh wait hold on let's see,
112,6,1,00:08:58.279,00:09:03.178,00:00:04.899,how do I clear this bad bad okay,
113,6,1,00:09:03.388,00:09:05.533,00:00:02.145,I'm using the mouse through this from that,
114,6,1,00:09:06.880,00:09:10.551,00:00:03.671,,plus eight equals
115,6,1,00:09:11.100,00:09:12.816,00:00:01.716,this is so hard to navigate,
116,6,1,00:09:13.066,00:09:13.425,00:00:00.359,,yeah
117,6,1,00:09:16.997,00:09:20.187,00:00:03.190,okay you know whatever we can just have random scribbles everywhere,
118,6,1,00:09:20.814,00:09:23.532,00:00:02.718,fifteen plus eight is twenty-three,
119,6,1,00:09:24.639,00:09:26.066,00:00:01.427,these are really easy,
120,6,1,00:09:26.066,00:09:26.445,00:00:00.379,,yeah
121,6,1,00:09:27.292,00:09:29.711,00:00:02.419,all right let's see,
122,6,1,00:09:31.660,00:09:37.829,00:00:06.169,seventeen time seven oh seventeen equals k plus eleven,
123,6,1,00:09:39.176,00:09:40.812,00:00:01.636,,wow crazy
124,6,1,00:09:41.022,00:09:42.449,00:00:01.427,so challenging,
125,6,1,00:09:42.598,00:09:43.129,00:00:00.531,,yeah oh
126,6,1,00:09:45.770,00:09:46.301,00:00:00.531,so,
127,6,1,00:09:46.214,00:09:47.308,00:00:01.094,,pause filler oh
128,6,1,00:09:49.672,00:09:50.680,00:00:01.008,what would you do,
129,6,1,00:09:51.917,00:09:52.905,00:00:00.988,,pause filler let's see
130,6,1,00:09:52.905,00:09:54.890,00:00:01.985,I don't know if I can do that in my head,
131,6,1,00:09:55.170,00:09:55.958,00:00:00.788,oh I know the answer,
132,6,1,00:09:56.128,00:09:57.664,00:00:01.536,hold on let me see if I can do this,
133,6,1,00:09:59.101,00:10:01.535,00:00:02.434,,it's two
134,6,1,00:10:02.344,00:10:02.832,00:00:00.488,wait yeah,
135,6,1,00:10:04.269,00:10:10.525,00:00:06.256,,twenty divided by wait
136,6,1,00:10:10.854,00:10:15.384,00:00:04.530,let me see if I can do this really important oh wait,
137,6,1,00:10:15.384,00:10:17.938,00:00:02.554,,I think I just undid the sentence
