,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,3,2,00:00:47.918,00:00:48.816,00:00:00.898,pause filler I'm hearing stuff,
1,3,2,00:00:49.305,00:00:50.133,00:00:00.828,,yeah can you hear me
2,3,2,00:00:50.233,00:00:51.231,00:00:00.998,yeah I can hear you,
3,3,2,00:00:51.231,00:00:51.560,00:00:00.329,,all right
4,3,2,00:00:52.149,00:00:53.406,00:00:01.257,yeah okay,
5,3,2,00:00:55.780,00:00:56.968,00:00:01.188,what,
6,3,2,00:01:01.327,00:01:02.384,00:00:01.057,yeah is there a way to,
7,3,2,00:01:19.955,00:01:20.424,00:00:00.469,uh-huh,
8,3,2,00:01:43.342,00:01:43.542,00:00:00.200,okay,
9,3,2,00:01:47.324,00:01:48.634,00:00:01.310,,nice to see you again
10,3,2,00:01:49.333,00:01:50.303,00:00:00.970,yeah nice to see you as well yeah,
11,3,2,00:01:52.634,00:01:53.884,00:00:01.250,,so how's your week
12,3,2,00:01:54.148,00:01:57.410,00:00:03.262,ah pretty good spring break just started for me,
13,3,2,00:01:57.410,00:01:57.879,00:00:00.469,what about you,
14,3,2,00:01:57.879,00:01:58.977,00:00:01.098,have you guys spring break yet,
15,3,2,00:01:59.346,00:02:01.870,00:00:02.524,,no pause filler I have like a half day Wednesday
16,3,2,00:02:01.870,00:02:04.534,00:00:02.664,,and then on Thursday and Friday I'm off
17,3,2,00:02:04.534,00:02:06.324,00:00:01.790,,and then on Monday I'm off again so
18,3,2,00:02:07.818,00:02:09.632,00:00:01.814,I've had the entire week off,
19,3,2,00:02:09.632,00:02:10.510,00:00:00.878,so a little bit,
20,3,2,00:02:10.510,00:02:10.750,00:00:00.240,,really
21,3,2,00:02:10.750,00:02:12.610,00:00:01.860,yeah so this all be nice,
22,3,2,00:02:13.943,00:02:16.118,00:00:02.175,,I wish I had the entire week off
23,3,2,00:02:16.118,00:02:18.063,00:00:01.945,yeah that sucks,
24,3,2,00:02:23.000,00:02:27.143,00:00:04.143,,(laughter) I think next year my school was going to try to do like the entire week thing
25,3,2,00:02:27.143,00:02:28.420,00:00:01.277,,but not this year
26,3,2,00:02:29.527,00:02:29.707,00:00:00.180,oh,
27,3,2,00:02:30.226,00:02:31.104,00:00:00.878,that would be nice,
28,3,2,00:02:31.104,00:02:33.448,00:00:02.344,I hope that it works out,
29,3,2,00:02:33.618,00:02:36.671,00:00:03.053,,yeah so what are you doing for Easter
30,3,2,00:02:38.277,00:02:41.486,00:00:03.209,pause filler oh wow I think you realize I was coming up,
31,3,2,00:02:42.094,00:02:43.624,00:00:01.530,not much I don't think,
32,3,2,00:02:43.624,00:02:44.524,00:00:00.900,so I'm ever going to do anything,
33,3,2,00:02:50.611,00:02:52.345,00:00:01.734,are you going to do anything,
34,3,2,00:02:52.515,00:02:52.814,00:00:00.299,,I don't know
35,3,2,00:02:52.814,00:02:56.167,00:00:03.353,,I'm probably just going to have dinner with my family or something like that
36,3,2,00:02:56.167,00:02:57.813,00:00:01.646,,maybe some family will come over
37,3,2,00:02:58.242,00:03:00.656,00:00:02.414,,and I'll go to church probably on that day
38,3,2,00:03:03.450,00:03:04.022,00:00:00.572,that's nice,
39,3,2,00:03:12.242,00:03:12.909,00:00:00.667,,so are you tired
40,3,2,00:03:12.909,00:03:14.525,00:00:01.616,,I'm tired (laughter)
41,3,2,00:03:14.884,00:03:19.194,00:00:04.310,yeah I guess I probably I stayed up a little bit late last night,
42,3,2,00:03:19.364,00:03:25.470,00:00:06.106,,yeah but sometimes and like I want to sleep but I don't but I should (laughter)
43,3,2,00:03:25.470,00:03:27.196,00:00:01.726,yeah and me too,
