,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,5,1,00:00:04.300,00:00:05.780,00:00:01.480,oh he doesn't have the headphones on yet,
1,5,1,00:00:11.850,00:00:13.410,00:00:01.560,he's not saying anything yet,
2,5,1,00:01:03.120,00:01:04.000,00:00:00.880,all right,
3,5,1,00:01:21.300,00:01:22.000,00:00:00.700,okay,
4,5,1,00:01:29.300,00:01:30.450,00:00:01.150,all right thank you,
5,5,1,00:01:33.800,00:01:34.800,00:00:01.000,,so
6,5,1,00:01:33.800,00:01:35.000,00:00:01.200,are you getting me clear,
7,5,1,00:01:35.700,00:01:36.000,00:00:00.300,,yeah
8,5,1,00:01:36.000,00:01:37.650,00:00:01.650,,you you are getting me
9,5,1,00:01:38.180,00:01:38.439,00:00:00.259,yeah,
10,5,1,00:01:38.709,00:01:38.990,00:00:00.281,,okay
11,5,1,00:01:39.750,00:01:40.065,00:00:00.315,all right that's great,
12,5,1,00:01:40.105,00:01:41.520,00:00:01.415,so how are you doing,
13,5,1,00:01:41.751,00:01:42.550,00:00:00.799,,good
14,5,1,00:01:43.192,00:01:44.307,00:00:01.115,,how are you
15,5,1,00:01:44.873,00:01:45.906,00:00:01.033,I'm doing great,
16,5,1,00:01:46.980,00:01:47.739,00:00:00.759,what's your name,
17,5,1,00:01:48.130,00:01:49.163,00:00:01.033,,I'm Charlie
18,5,1,00:01:50.100,00:01:50.950,00:00:00.850,well I'm Jordan,
19,5,1,00:01:50.950,00:01:51.739,00:00:00.789,nice to meet you Charlie,
20,5,1,00:01:51.908,00:01:52.547,00:00:00.639,,nice to meet you
21,5,1,00:01:53.993,00:01:56.438,00:00:02.445,so I sign the tutoring thing,
22,5,1,00:02:00.120,00:02:04.300,00:00:04.180,well I guess you're supposed to open the,
23,5,1,00:02:06.435,00:02:07.563,00:00:01.128,oh boy,
